S.No,MP Code,Member Name,Party,State,Position No.,Period,Position Held
7,2466,Shri Subhas Chandra Bose Pilli,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,10,July 2020-Sept. 2021,"Member, Committee on Industry"
7,2466,Shri Subhas Chandra Bose Pilli,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,11,June 2020,Elected to Rajya Sabha
7,2466,Shri Subhas Chandra Bose Pilli,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,12,2019 - July 2020,"Deputy Chief Minister and Minister for Revenue and Stamps and Registrations, Andhra Pradesh"
7,2466,Shri Subhas Chandra Bose Pilli,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,13,2015 - 2020,"Member, Andhra Pradesh Legislative Council"
7,2466,Shri Subhas Chandra Bose Pilli,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,14,2007-2009 and 2009-2010,"Minister for Social Welfare, Government of Andhra Pradesh (two terms)"
7,2466,Shri Subhas Chandra Bose Pilli,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,15,"1989 - 1994, 2004 - 2009 and 2009 - 2011","Member, Andhra Pradesh Legislative Assembly (three terms)"
8,2587,Shri Meda Raghunadha Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,1,Feb. 2026 onwards,"Member, India-Uzbekistan Parliamentary Friendship Group"
8,2587,Shri Meda Raghunadha Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,2,Sept. 2025 onwards,"Member, Committee on Railways"
8,2587,Shri Meda Raghunadha Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,3,March 2025 onwards,"Member, Committee on Ethics"
8,2587,Shri Meda Raghunadha Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,4,Oct. 2024 onwards,"Member, Consultative Committee for the Ministry of Coal and Ministry of Mines"
8,2587,Shri Meda Raghunadha Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,5,Sept. 2024 - Sept. 2025,"Member, Committee on Chemicals and Fertilizers"
8,2587,Shri Meda Raghunadha Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,6,April 2024,Elected to Rajya Sabha
9,2526,Shri S Niranjan Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,1,May 2026 onwards,"Member, Joint Committee on the Corporate Laws (Amendment) Bill, 2026"
9,2526,Shri S Niranjan Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,2,Feb. 2026 onwards,"Member, India- Iran Parliamentary Friendship Group"
9,2526,Shri S Niranjan Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,3,Nov. 2025 onwards,"Member, Joint Committee on the Constitution (One Hundred and Thirtieth Amendment) Bill, 2025; The Jammu and Kashmir Reorganisation (Amendment) Bill, 2025; and The Government of UnionTerritories (Amendment) Bill, 2025."
9,2526,Shri S Niranjan Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,4,March 2025,"Nominated to the Panel of Vice-Chairpersons, Rajya Sabha"
9,2526,Shri S Niranjan Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,5,March 2025 onwards,"Member, Committee on Information and CommunicationTechnology Management in Rajya Sabha (ICTMRS)"
9,2526,Shri S Niranjan Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,6,Oct. 2024 onwards,"Member, Consultative Committee for the Ministry of Law and Justice"
9,2526,Shri S Niranjan Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,7,Sept. 2024 onwards,"Member, Committee on Communications and Information Technology"
9,2526,Shri S Niranjan Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,8,Dec. 2022 - March 2023,"Member, Joint Committee on the Multi-State Co-operative Societies (Amendment) Bill, 2022"
9,2526,Shri S Niranjan Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,9,Nov. 2022 onwards,"Member, Committee on Subordinate Legislation"
9,2526,Shri S Niranjan Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,10,Sept. 2022 - June 2024,"Member, Consultative Committee for the Ministry of Law and Justice"
9,2526,Shri S Niranjan Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,11,Sept. 2022 - June 2024,"Member, Committee on Housing and Urban Affairs"
9,2526,Shri S Niranjan Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,12,June 2022,Elected to Rajya Sabha
10,2588,Shri Yerram Venkata Subba Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,1,Feb. 2026 onwards,"Member, India - CARICOM Parliamentary Friendship Group"
10,2588,Shri Yerram Venkata Subba Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,2,March 2025 onwards,"Member, Joint Committee on the Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024 and the Union Territories Laws (Amendment) Bill, 2024"
10,2588,Shri Yerram Venkata Subba Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,3,Oct. 2024 onwards,"Member, Consultative Committee for the Ministry of Finance"
